DT,A1
01-04-2020,16.25
02-04-2020,12.68
03-04-2020,9.8
04-04-2020,10.37
05-04-2020,10.05
06-04-2020,11.94
07-04-2020,12.18
08-04-2020,9.25
09-04-2020,9.94
10-04-2020,6.45
11-04-2020,4.69
12-04-2020,4.06
13-04-2020,2.37
14-04-2020,1.81
15-04-2020,1.74
16-04-2020,1.81
17-04-2020,1.24
18-04-2020,0.88
19-04-2020,1.93
20-04-2020,0.81
21-04-2020,0.69
22-04-2020,0.61
23-04-2020,1
24-04-2020,1.25
25-04-2020,1.43
26-04-2020,2.18
27-04-2020,0.76
28-04-2020,1.13
29-04-2020,1.31
30-04-2020,0.76
01-05-2020,1
01-05-2020,1
03-05-2020,0.94
04-05-2020,0.93
05-05-2020,1.13
06-05-2020,1.25
07-05-2020,1.12
08-05-2020,0.99
09-05-2020,2.18
10-05-2020,2.13
11-05-2020,1.56
12-05-2020,1.99
13-05-2020,1.38
14-05-2020,1.06
15-05-2020,1.7
16-05-2020,2.19
17-05-2020,2.12
18-05-2020,1.62
19-05-2020,2.93
20-05-2020,3.06
21-05-2020,3.45
22-05-2020,3.88
23-05-2020,8.19
24-05-2020,12.95
25-05-2020,9.75
26-05-2020,23.37
27-05-2020,12.69
28-05-2020,17.2
29-05-2020,19.69
30-05-2020,20.01
31-05-2020,22.31
01-06-2020,20.88
02-06-2020,13.76
03-06-2020,19.45
04-06-2020,18.74
05-06-2020,28.32
06-06-2020,21.88
07-06-2020,11.94
08-06-2020,2.81
09-06-2020,3.18
10-06-2020,2
11-06-2020,13.59
12-06-2020,14.06
13-06-2020,4.69
14-06-2020,2.57
15-06-2020,1.69
16-06-2020,3.13
17-06-2020,3.06
18-06-2020,3.82
19-06-2020,3.45
20-06-2020,1.75
21-06-2020,3.01
22-06-2020,2.87
23-06-2020,3.75
24-06-2020,4.76
25-06-2020,6.18
26-06-2020,7.62
27-06-2020,10.75
28-06-2020,18.43
29-06-2020,15.74
30-06-2020,19.75
01-07-2020,16.06
02-07-2020,22.38
03-07-2020,17.8
04-07-2020,16.01
05-07-2020,17.26
06-07-2020,10
07-07-2020,3
08-07-2020,1.89
09-07-2020,3
10-07-2020,2.05
11-07-2020,1.62
12-07-2020,1.49
13-07-2020,2.57
14-07-2020,1.63
15-07-2020,1.81
16-07-2020,2.82
17-07-2020,4.43
18-07-2020,3.57
19-07-2020,4.88
20-07-2020,9.62
21-07-2020,21.69
22-07-2020,11.5
23-07-2020,16.62
24-07-2020,21.88
25-07-2020,20.82
26-07-2020,22.87
27-07-2020,10.19
28-07-2020,11.24
29-07-2020,13.01
30-07-2020,19.63
31-07-2020,19.18
01-08-2020,15.07
02-08-2020,24.45
03-08-2020,17.45
04-08-2020,11.99
05-08-2020,16.7
06-08-2020,4.38
07-08-2020,4.43
08-08-2020,4.12
09-08-2020,2.87
10-08-2020,2.76
11-08-2020,2.76
12-08-2020,2.44
13-08-2020,1.5
14-08-2020,3.25
15-08-2020,2.87
16-08-2020,2.57
17-08-2020,2.56
18-08-2020,2.88
19-08-2020,4.51
20-08-2020,5.43
21-08-2020,5.68
22-08-2020,7.38
23-08-2020,9.88
24-08-2020,18.49
25-08-2020,21.81
26-08-2020,23.56
27-08-2020,22.73
28-08-2020,21.45
29-08-2020,14.63
30-08-2020,16.56
31-08-2020,17.75
01-09-2020,21.44
02-09-2020,28.06
03-09-2020,20.75
04-09-2020,18.75
05-09-2020,15
06-09-2020,26.01
07-09-2020,14.87
08-09-2020,17.88
09-09-2020,22.62
10-09-2020,21.94
11-09-2020,24.81
12-09-2020,12.19
13-09-2020,24.81
14-09-2020,25.68
15-09-2020,22.07
16-09-2020,21.62
17-09-2020,21.3
18-09-2020,10.06
19-09-2020,11.99
20-09-2020,6.61
21-09-2020,6.76
22-09-2020,6.63
23-09-2020,6
24-09-2020,14.62
25-09-2020,27.25
26-09-2020,27.31
27-09-2020,27.94
28-09-2020,15.93
29-09-2020,24.81
30-09-2020,23.94
01-10-2020,26.37
02-10-2020,30.37
03-10-2020,23.62
04-10-2020,28.99
05-10-2020,11.26
06-10-2020,14.12
07-10-2020,10.69
08-10-2020,19.69
09-10-2020,12.3
10-10-2020,27.25
11-10-2020,13.93
12-10-2020,4.93
13-10-2020,5.37
14-10-2020,23.13
15-10-2020,13.13
16-10-2020,3.68
17-10-2020,23.63
18-10-2020,18.12
19-10-2020,29.25
20-10-2020,27.68
21-10-2020,26
22-10-2020,20
23-10-2020,15.94
24-10-2020,22.75
25-10-2020,21.51
26-10-2020,21
27-10-2020,20.49
28-10-2020,19.12
29-10-2020,18.88
30-10-2020,19.75
31-10-2020,25.87
01-11-2020,19.55
02-11-2020,24.51
03-11-2020,26.3
04-11-2020,23.75
05-11-2020,12
06-11-2020,17.31
07-11-2020,27.69
08-11-2020,11.88
09-11-2020,6.75
10-11-2020,20.43
11-11-2020,24.07
12-11-2020,13.3
13-11-2020,26.99
14-11-2020,23.58
15-11-2020,24.06
16-11-2020,25.93
17-11-2020,24.25
18-11-2020,25.38
19-11-2020,26.63
20-11-2020,26.56
21-11-2020,26.25
22-11-2020,23.25
23-11-2020,23.44
24-11-2020,23.56
25-11-2020,20.75
26-11-2020,21.81
27-11-2020,25.18
28-11-2020,18.31
29-11-2020,28.74
30-11-2020,23.06
01-12-2020,22.18
02-12-2020,16.74
03-12-2020,21.56
04-12-2020,25.07
05-12-2020,25.24
06-12-2020,27.44
07-12-2020,15.25
08-12-2020,16.06
09-12-2020,19.83
10-12-2020,22.88
11-12-2020,31.69
12-12-2020,22.11
13-12-2020,24.12
14-12-2020,21.43
15-12-2020,15.76
16-12-2020,18.19
17-12-2020,17.44
18-12-2020,32.74
19-12-2020,27.25
20-12-2020,26.13
21-12-2020,22.57
22-12-2020,25.81
23-12-2020,27.13
24-12-2020,28.75
25-12-2020,28.81
26-12-2020,28.25
27-12-2020,27.12
28-12-2020,20.63
29-12-2020,27.81
30-12-2020,24.56
31-12-2020,25.68
01-01-2021,25.51
02-01-2021,28.88
03-01-2021,28.44
04-01-2021,27.38
05-01-2021,21.06
06-01-2021,26.25
07-01-2021,27.31
08-01-2021,26.75
09-01-2021,29.63
10-01-2021,26.01
11-01-2021,26.75
12-01-2021,23.07
13-01-2021,27.44
14-01-2021,24.56
15-01-2021,23.06
16-01-2021,27.13
17-01-2021,17.75
18-01-2021,21.67
19-01-2021,26.43
20-01-2021,18.81
21-01-2021,26.25
22-01-2021,2655
23-01-2021,25.93
24-01-2021,29.74
25-01-2021,19.12
26-01-2021,22.5
27-01-2021,18.81
28-01-2021,20.62
29-01-2021,26.81
30-01-2021,29.26
31-01-2021,30.44
01-02-2021,26.81
02-02-2021,25.12
03-02-2021,24.81
04-02-2021,19.37
05-02-2021,27.49
06-02-2021,23.5
07-02-2021,22.55
08-02-2021,28.81
09-02-2021,25.26
10-02-2021,28.94
11-02-2021,23.01
12-02-2021,24.95
13-02-2021,27.07
14-02-2021,26.06
15-02-2021,26.5
16-02-2021,28.56
17-02-2021,25.3
18-02-2021,25.5
19-02-2021,18.01
20-02-2021,26.94
21-02-2021,24.31
22-02-2021,24.75
23-02-2021,20.2
24-02-2021,24.81
25-02-2021,24.12
26-02-2021,21.99
27-02-2021,25.82
28-02-2021,27.38
01-03-2021,21.57
02-03-2021,27.49
03-03-2021,24.88
04-03-2021,24.06
05-03-2021,22.19
06-03-2021,20.63
07-03-2021,22.08
08-03-2021,21.18
09-03-2021,15.19
10-03-2021,6.75
11-03-2021,22.5
12-03-2021,28.32
13-03-2021,20.38
14-03-2021,20.75
15-03-2021,21.43
16-03-2021,26
17-03-2021,23.68
18-03-2021,24.25
19-03-2021,22.43
20-03-2021,18.75
21-03-2021,24.81
22-03-2021,22.88
23-03-2021,25.45
24-03-2021,26.19
25-03-2021,20.55
26-03-2021,23.06
27-03-2021,19.81
28-03-2021,24.5
29-03-2021,25.93
30-03-2021,27.44
31-03-2021,28
01-04-2021,18.75
02-04-2021,28.12
03-04-2021,15.62
04-04-2021,19.13
05-04-2021,23.06
06-04-2021,27.38
07-04-2021,23.24
08-04-2021,26.18
09-04-2021,19.69
10-04-2021,35.63
11-04-2021,29.89
12-04-2021,27.38
13-04-2021,27.88
14-04-2021,33.32
15-04-2021,36.06
16-04-2021,21
17-04-2021,30.49
18-04-2021,34.06
19-04-2021,35.57
20-04-2021,45.13
21-04-2021,28.44
22-04-2021,30.31
23-04-2021,27.93
24-04-2021,38.75
25-04-2021,31.93
26-04-2021,31.49
27-04-2021,31.43
28-04-2021,30.24
29-04-2021,19.61
30-04-2021,17.76
01-05-2021,33.56
02-05-2021,30.63
03-05-2021,19.49
04-05-2021,22.31
05-05-2021,23.75
06-05-2021,26.13
07-05-2021,24.94
08-05-2021,23.56
09-05-2021,31.87
10-05-2021,31.75
11-05-2021,37.88
12-05-2021,25.37
13-05-2021,31.12
14-05-2021,22.95
15-05-2021,35.74
16-05-2021,29.57
17-05-2021,27.38
18-05-2021,26.75
19-05-2021,37.24
20-05-2021,28
21-05-2021,21.94
22-05-2021,33.06
23-05-2021,31.25
24-05-2021,37.25
25-05-2021,29.8
26-05-2021,20.69
27-05-2021,26.31
28-05-2021,25.31
29-05-2021,34
30-05-2021,14.75
31-05-2021,5
01-06-2021,32.38
02-06-2021,20.44
03-06-2021,26.92
04-06-2021,13
05-06-2021,18.31
06-06-2021,7.13
07-06-2021,5.61
08-06-2021,33.57
09-06-2021,24.26
10-06-2021,31
11-06-2021,14.44
12-06-2021,15.7
13-06-2021,31.57
14-06-2021,25.45
15-06-2021,14.56
16-06-2021,15.38
17-06-2021,29.19
18-06-2021,30
19-06-2021,28.31
20-06-2021,32
21-06-2021,12.43
22-06-2021,26.23
23-06-2021,26.23
24-06-2021,32.43
25-06-2021,33.81
26-06-2021,41.31
27-06-2021,35.99
28-06-2021,16.5
29-06-2021,11.63
30-06-2021,21.44
01-07-2021,31.82
02-07-2021,33.25
03-07-2021,42.01
04-07-2021,32.5
05-07-2021,34.06
06-07-2021,29.01
07-07-2021,33.32
08-07-2021,32.55
09-07-2021,35.94
10-07-2021,31.62
11-07-2021,30.5
12-07-2021,31.93
13-07-2021,15.62
14-07-2021,31.19
15-07-2021,28
16-07-2021,32.77
17-07-2021,9.99
18-07-2021,5.18
19-07-2021,4.87
20-07-2021,4.06
21-07-2021,4
22-07-2021,4.32
23-07-2021,4.81
24-07-2021,4.37
25-07-2021,4.37
26-07-2021,4.62
27-07-2021,7.37
28-07-2021,7.25
29-07-2021,9.94
30-07-2021,17.68
31-07-2021,28.25
01-08-2021,32
02-08-2021,29.07
03-08-2021,33.37
04-08-2021,33.82
05-08-2021,33.81
06-08-2021,17.69
07-08-2021,24.06
08-08-2021,36.26
09-08-2021,26.63
10-08-2021,36.7
11-08-2021,38.45
12-08-2021,38.56
13-08-2021,27.45
14-08-2021,19.75
15-08-2021,33.37
16-08-2021,31.39
17-08-2021,27.62
18-08-2021,37.37
19-08-2021,34.68
20-08-2021,24.12
21-08-2021,29.94
22-08-2021,21.69
23-08-2021,19.06
24-08-2021,26.93
25-08-2021,34.17
26-08-2021,44.44
27-08-2021,32.63
28-08-2021,21.93
29-08-2021,27.2
30-08-2021,26.81
31-08-2021,31.36
01-09-2021,45.99
02-09-2021,37.8
03-09-2021,28.13
04-09-2021,35.94
05-09-2021,35
06-09-2021,43
